Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
Florian Zimmermann,florian,zimmermann,Leverage and Asset Prices: An Experiment,Yes,,,,,,,,,,
Francesca De Petrillo,francesca,petrillo,Learning under Ambiguity when Information Acquisition is Costly: an Experiment,No,,,,x,,,FALSE,,TRUE,
Francesca Federico,francesca,federico,"""Alternative Carbon Emissions Permits Market Designs: A Lab-in-Field Experiment in China""",No,,,,x,,,FALSE,,TRUE,
Francesco Fallucchi,francesco,fallucchi,Experimental evidence of the bandwagon effect on voting,No,,,,,,,FALSE,,TRUE,cited already above 
Franziska Then,franziska,then,Endogenous Market Formation and Monetary Trade: an Experiment,No,,,,,,,TRUE,,TRUE,cited aboce
Frederic Schneider,frederic,schneider,Do Non-strategic Considerations in Games Matter for Behavior? Experimental Study Informed by Direct-sum Decompositions of Games,Yes,,,,,,,,,,
Frederik ØVLISEN,frederik,øvlisen,Exploring the effects of real effort in weak-link lab experiments,No,,,,x,,,FALSE,,TRUE,
Friederike Reichel,friederike,reichel,"""An Approach to Testing Reference Points”",No,,,,x,,,FALSE,,TRUE,
Fu-Hsuan Tsai,fu-hsuan,tsai,"""A theory of the origin of social norms""",No,,,,x,,,FALSE,,TRUE,
Fuhai Hong,fuhai,hong,"""Emotions, rule-following, and bargaining norms""",Yes,,,,,,,,,,
Gabriel Vollert,gabriel,vollert,Wisdom of crowds under social influence: A comparison of voting rules,No,,,,x,,,FALSE,,TRUE,
Gahye  Jeon,gahye,jeon,"""Is women's competitiveness expressed through their husband's income?""",No,,,,x,,,FALSE,,TRUE,
Gary Charness,gary,charness,Panel,Yes,,,,,,,,,,
Gary CHARNESS,gary,charness,“Do Roses Speak Louder than Words? Signaling in Internet Dating Markets”,Yes,,,,,,,,,,
Geir Asheim,geir,asheim,Congestion and Minority Games,No,,,,x,,,FALSE,,TRUE,no exp
Geo Li,geo,li,Married by the Rev. Bayes? An experiment on communication within married couples.,No,,,,x,,,FALSE,,TRUE,no exp
Geoff Clarke,geoff,clarke,When Is Inequality Fair?,No,,,,x,,,FALSE,,TRUE,no exp
Geoffrey Fisher,geoffrey,fisher,Communication in Legislative Bargaining,Yes,,,,,,,,,,
Georg Primes,georg,primes,"""Reflexive Agents And Institutional Change: An Experimental Case Of Inequality And (Democratic) Decision Making""",No,,,,x,,,FALSE,,TRUE,
Georg Sator,georg,sator,,No,,,,x,,,FALSE,,TRUE,
George Agyeah,george,agyeah,Estimating Preferences for Competition from Convex Budget Sets,No,,,,x,,,FALSE,,TRUE,
George Loewenstein,george,loewenstein,“Women Dislike Competing Against Men”,Yes,,,,,,,,,,
George Ng,george,ng,“Best of Three Contests: Experimental Evidence”,No,,,,x,,,FALSE,,TRUE,
Gerhard Riener,gerhard,riener,Panel,Yes,,,,,,,,,,
Ghida Karbala,ghida,karbala,Peer Effects and Social Closeness,No,,,,x,,,FALSE,,TRUE,
Giacomo Lanzani,giacomo,lanzani,"""In Search of Mixed Risk Attitudes""",No,,,,x,,,FALSE,,TRUE,
Gideon Nave,gideon,nave,Affirmative Action in School Choice Problem: An Experiment,Yes,,,,,,,,,,
Giorgia Romagnoli,giorgia,romagnoli,"""Anti-migration sentiments and fairness perceptions""",Yes,,,,,,,,,,
Gizem Turna Cebeci,gizem,cebeci,Fund manager performance incentives and asset bubbles?An experimental study,No,,,,x,,,FALSE,,TRUE,
Graham LOOMES,graham,loomes,“On the Coefficient of Variation as a Criterion for Decision under Risk”,Yes,,,,,,,,,,
Gregory Howard,gregory,howard,Hierarchy Reversal Aversion: Evidence from Developmental and Cross-Cultural Research,No,,,,x,,,FALSE,,TRUE,
Guidon Fenig,guidon,fenig,"""Quantal Response Equilibrium with Symmetry: Representation and Applications""",No,,,,,,,FALSE,,FALSE,
Guillaume Beaurain,guillaume,beaurain,"""Friend or Foe: Social Distance in Bribery""",No,,,,,,,FALSE,,FALSE,
Guillaume Frechette,guillaume,frechette,"""Are pro-environment behaviors substitutes or complements? Evidence from the field""",No,,,,,,,FALSE,,FALSE,
Guillaume Hollard,guillaume,hollard,Minimum Wages and Fairness Perceptions: Evidence from Field and the Lab,No,,,,,,,FALSE,,FALSE,
Guillermo Mateu,guillermo,mateu,"""Simple Voting""",No,,,,,,,FALSE,,FALSE,
Gunduz Caginalp,gunduz,caginalp,Compliance by believing: An experimental exploration on social norms and impartial agreements,No,,,,,,,FALSE,,FALSE,
Guohong Wang,guohong,wang,"Context, common knowledge and gender differences in trust and reciprocity",No,,,,,,,FALSE,,FALSE,
Gustavo Caballero,gustavo,caballero,“Goal Setting In Tournament With Sabotage: Theory and Experimental Evidence”,No,,,,,,,FALSE,,FALSE,
Guy Barokas,guy,barokas,Inequality Externality Beliefs and Redistributive Preferences,No,,,,,,,FALSE,,FALSE,
Guy Mayraz,guy,mayraz,"""Mirror Mirror on the Network: Peer selection and endogenous preferences""",No,,,,,,,FALSE,,FALSE,
Gwen-Jiro Clochard,gwen-jiro,clochard,,No,,,,,,,FALSE,,FALSE,
Hadar Weisman Simhony,hadar,simhony,"The Effect of Cognitive Ability on Cooperation, Forgiveness, and Leniency in Infinitely Repeated Public Goods Game Experiments",No,,,,,,,FALSE,,FALSE,
Haimanti Bhattacharya,haimanti,bhattacharya,Strategies in the Multi-armed Bandit,No,,,,,,,FALSE,,FALSE,
Hajime Kobayashi,hajime,kobayashi,The Impact of Economics on Moral Decision-Making and Legal Thought,No,,,,,,,FALSE,,FALSE,
Håkan Holm,håkan,holm,"Incentives, Test Scores, and Economic Success",No,,,,,,,FALSE,,FALSE,
Håkan J. HOLM,håkan,holm,Procrastination: Welfare effects of partial naïveté,No,,,,,,,FALSE,,FALSE,
Hakan Ozyilmaz,hakan,ozyilmaz,,No,,,,,,,FALSE,,FALSE,
Haley Harwell,haley,harwell,"""Determinants of Discrimination in Strategic Settings""",No,,,,,,,FALSE,,FALSE,
Hamideh Mohtashami Borzadaran,hamideh,borzadaran,"""Delaying and Motivating Decisions in the (Bully) Dictator Game""",No,,,,,,,FALSE,,FALSE,
Hammad Siddiqi,hammad,siddiqi,Shocks and Relationships,No,,,,,,,FALSE,,FALSE,
Hande Erkut,hande,erkut,“Facing the Grim Truth: Repeated Prisoner’s Dilemma Against Robot Opponents”,No,,,,,,,FALSE,,FALSE,
Hankyoung Sung,hankyoung,sung,A Large Scale Experimental Study of School Choice Mechanisms,No,,,,,,,FALSE,,FALSE,
Hanlin Lou,hanlin,lou,"""Insider trading legislation and trader migration""",No,,,,,,,FALSE,,FALSE,
Hannes Rau,hannes,rau,Mindful parenting and children’s socio-emotional skills and preferences,Yes,,,,,,,,,,
Hannes Titeca,hannes,titeca,Trust of Tax Authorities in Taxpayers: An Experimental Investigation of its Effects on Auditing and Tax Compliance,No,,,,x,,,FALSE,,TRUE,
Hedda Nielsen,hedda,nielsen,Moral Wiggle Room and Identity-based Discrimination,No,,,,x,,,FALSE,,TRUE,
Heloise Clolery,heloise,clolery,"""Reciprocity in multi player interactions - Evidence from the lab and the field""",No,,,,x,,,FALSE,,TRUE,
Hirofumi Kirokawa,hirofumi,kirokawa,The Endogenous Formation of Institutions in Public Goods Provision,No,,,,x,,,FALSE,,TRUE,
Hiroshi KURATA,hiroshi,kurata,A Comparison of Generalized Plurality and Cumulative Voting,No,,,,x,,,FALSE,,TRUE,
Holger A. Rau,holger,rau,"""Inherited Inequality and the Dilemma of Meritocracy""",Yes,,,,,,,,,,
Hong GENG,hong,geng,Second Price Candle Auctions,No,,,,x,,,FALSE,,TRUE,
Hong Wu,hong,wu,Accounting Uniformity and Higher-Order Beliefs,Yes,,,,,,,,,,
Hongkai Zhang,hongkai,zhang,Observability and Lying,No,,,,x,,,FALSE,,TRUE,
Howard Margolis,howard,margolis,Self-delusion: A Neuroeconomic Model and fMRI Evidence,No,,,,x,,,FALSE,,TRUE,no exp
Hsu Lin,hsu,lin,,No,,,,x,,,FALSE,,TRUE,
Huaiping Yuan,huaiping,yuan,“Behavioral Influences on Investment and Production in Asset Markets: An Experimental Study”,No,,,,,,,FALSE,,FALSE,
Huan Xie,huan,xie,"""Deceptive Communication""",Yes,,,,,,,,,,
Huanren Zhang,huanren,zhang,"""The Gender Difference in Mixed Strategy Nash Equilibrium Play""",No,,,,,,,FALSE,,FALSE,
Hugh Sibly,hugh,sibly,Giving to one or giving to many? How the number of recipients affects willingness to donate,No,,,,,,,FALSE,,FALSE,
Hung-Ni Chen,hung-ni,chen,Is the attraction effect fast or slow? A choice process experiment,No,,,,,,,FALSE,,FALSE,
Huseyn Ismayilov,huseyn,ismayilov,"""Framing effect and children's conditional cooperation under the inequality of endowment""",No,,,,,,,FALSE,,FALSE,
Hyeonggyun Ko,hyeonggyun,ko,The Cooperative Consequences of Contests,No,,,,,,,FALSE,,FALSE,
Hyoeun Park,hyoeun,park,"""Why do People Demand Rent Control?""",No,,,,,,,FALSE,,FALSE,
Hyundam Je,hyundam,je,"""The Role of Memory in Belief Formation""",No,,,,,,,FALSE,,FALSE,
Hyunkyong Lee,hyunkyong,lee,"Discounting, Dynamic Consistency, and Cooperation in an Infinitely Repeated Game Experiment",No,,,,,,,FALSE,,FALSE,
Ian Chadd,ian,chadd,"""Gender Biases in Performance Evaluation: The Role of Beliefs versus Outcomes""",No,,,,,,,FALSE,,FALSE,
Ian Krajbich,ian,krajbich,,No,,,,,,,FALSE,,FALSE,
Ian Levely,ian,levely,Cheating for Charity: When Misreporting the Value of Labor Benefits a Just Cause,No,,,,,,,FALSE,,FALSE,
Ian Muir,ian,muir,"""Price Signaling and Bargain Hunting in Markets with Partially Informed Populations""",Yes,,,,,,,,,,
Ichola Soulé,ichola,soulé,“Virtualizing the Lab with oTree and Kubernetes”,No,,,,,,,FALSE,,FALSE,
Ido Erev,ido,erev,On common evaluation standards and the acceptance of wage differences,Yes,,,,,,,,,,
Iftikhar Lodhi,iftikhar,lodhi,"""Inequality, Life Expectancy, and the Intragenerational Redistribution Puzzle. Some Experimental Evidence""",No,,,,,,,FALSE,,FALSE,
iga Velkavrh,iga,velkavrh,Cooperation and the Signaling Value of Incentives: An Experiment in a Company,No,,,,,,,FALSE,,FALSE,
Igor Asanov,igor,asanov,"Economic Insecurity, Racial Bias and Trust",No,,,,,,,FALSE,,FALSE,
Ihsan Alp,ihsan,alp,"""Competition and Complementarities between Platforms: Evidence from the Vacation Rental Markets""",No,,,,,,,FALSE,,FALSE,
Ilona Reindl,ilona,reindl,"""An Experimental Investigation of Warm Glow and Hidden Income""",No,,,,,,,FALSE,,FALSE,
Imen Bouhlel,imen,bouhlel,The forward premium in electricity markets: an experimental study,No,,,,,,,FALSE,,FALSE,
Inbal Dekel,inbal,dekel,"""Bargaining Outcomes and Rents under Differing Institutional Arrangements: Evidence from a Natural Experiment""",No,,,,,,,FALSE,,FALSE,
Indira Puri,indira,puri,Pyramid schemes,No,,,,,,,FALSE,,FALSE,
Ingar Haaland,ingar,haaland,A Laboratory Experiment on Tax Competition,No,,,,,,,FALSE,,FALSE,
Irenaeus Wolff,irenaeus,wolff,Is Compensation Fine? Sanction Regimes and their Effects on Deterrence and Trust,No,,,,,,,FALSE,,FALSE,
Irene Mussio,irene,mussio,Statistical Role Models in Stereotyped Contexts: Experimental Evidence,No,,,,,,,FALSE,,FALSE,
Irina Kirysheva,irina,kirysheva,“Negative Externalities and Reflecting on What is Socially Right: An Experiment with a UK Population Representative Sample”,No,,,,,,,FALSE,,FALSE,
Isa Hafalir,isa,hafalir,The Effects of Tax Salience and Tax Experience on Individual Work Efforts in a Real Effort Experiment,No,,,,,,,FALSE,,FALSE,
Isabel Busom,isabel,busom,Crime and (Optimal) Punishment: An Experimental Study,No,,,,,,,FALSE,,FALSE,
Isabel Marcin,isabel,marcin,"""A tale of two utilities""",No,,,,,,,FALSE,,FALSE,
Isabel Trevino,isabel,trevino,,No,,,,,,,FALSE,,FALSE,
Isabelle Brocas,isabelle,brocas,"Productivity beliefs, competition entry, and gender quotas",No,,,,,,,FALSE,,FALSE,
Isabelle Salle,isabelle,salle,“Motives to Share: Evidence from a Risk Sharing Experiment in Kenya”,No,,,,,,,FALSE,,FALSE,
Ismael Rodriguez-Lara,ismael,rodriguez-lara,"""On the relative deservingness of capital and labor""",No,,,,,,,FALSE,,FALSE,
Israel WAICHMAN,israel,waichman,“Jump Bidding in English Auctions: an Experimental Study”,No,,,,,,,FALSE,,FALSE,
Ivan Ajdukovic,ivan,ajdukovic,"""Does Financing of Public Goods by Lotteries Crowd Out Pro-Social Incentives?""",No,,,,,,,FALSE,,FALSE,
Ivan Barreda-Tarrazona,ivan,barreda-tarrazona,"""Ethics and Economic Choice: An Exploration of Endogenous and Constructive Preferences""",No,,,,,,,FALSE,,FALSE,
Iván Barreda-Tarrazona,iván,barreda-tarrazona,Mobility evaluation: Theorerical definitions and people’s perceptions.,No,,,,,,,FALSE,,FALSE,
Ivan Soraperra,ivan,soraperra,"""Behavioral Market Design""",Yes,,,,,,,,,,
Ivcan Soraperra,ivcan,soraperra,Post-Promotion Effort and Group Identity,Yes,,,,,,,,,,
J Jobu Babin,j,babin,What Money Can Buy: How Markets Promote and Transmit Values,No,,,,,,,FALSE,,FALSE,
J Michelle Brock,j,brock,Electoral competition and political rents in the lab,No,,,,,,,FALSE,,FALSE,
J. A. Lacomba,j.,lacomba,The Hayek Hypothesis and Long Run Competitive Market Equilibrium,No,,,,,,,FALSE,,FALSE,
J. Cristobal Ruiz-Tagle,j.,ruiz-tagle,An Experimental Analysis of Bubble: Private Information and Trading Behavior,No,,,,,,,FALSE,,FALSE,
J. Forrest Williams,j.,williams,Willful Ignorance and Moral Behavior: Evidence from the Lab and the Field,Yes,,,,,,,,,,
J. Frederik Graff,j.,graff,Helping Behavior and Group Size,No,,,,,,,FALSE,,FALSE,
J. Jobu Babin,j.,babin,The Impact of a Merit-Based Incentive Payment System on Quality of Healthcare: A Framed Field Experiment,No,,,,,,,FALSE,,FALSE,
J. Michelle Brock,j.,brock,The Endowment Effect of the Personal Account Amount of Public Maintenance Funds--Evidence from a field experimentation,No,,,,,,,FALSE,,FALSE,
J. Neil Bearden,j.,bearden,The Effects of Total Sleep Deprivation on Bayesian Update,No,,,,,,,FALSE,,FALSE,
J. Philipp Reiss,j.,reiss,"""Does an Individual Have Diverse Beliefs? An Experimental Investigation""",No,,,,,,,FALSE,,FALSE,
J. Philipp REISS,j.,reiss,Pricing lotteries with real outcomes: An experimental study,No,,,,,,,FALSE,,FALSE,
J. Todd SWARTHOUT,j.,swarthout,“The Attack and Defense of Weakest-Link Networks”,No,,,,,,,FALSE,,FALSE,
Jack Rogers,jack,rogers,Eliciting Private Information with Noise: The Case of Randomized Response,No,,,,,,,FALSE,,FALSE,
Jack Stecher,jack,stecher,Neurobiological Foundations of Perception and Decisions under Uncertainty,No,,,,,,,FALSE,,FALSE,
Jaclyn Yap,jaclyn,yap,"""Lack of Control: An experiment""",No,,,,,,,FALSE,,FALSE,
Jacob Fooks,jacob,fooks,“Inconsistency Pays.”,No,,,,,,,FALSE,,FALSE,
Jacob Williams,jacob,williams,,Yes,,,,,,,,,,
Jakob Möller,jakob,möller,"Why people oppose trade institutions – On morality, fairness and risky actions",No,,,,x,,,FALSE,,TRUE,
James Andreoni,james,andreoni,"""Information Disclosure In Common Value Repeated Auctions""",Yes,,,,,,,,,,
James Banovetz,james,banovetz,"""Gender Differences in Self-Promotion: Understanding the Female Modesty Constraint""",No,,,,x,,,FALSE,,TRUE,
James C Cox,james,cox,,Yes,,,,,,,,,,
James C. Cox,james,cox,"""Expectation Formation Under Uninformative Signals""",Yes,,,,,,,,,,
James Cox,james,cox,"""Institutions And The Causal Effect Of Trust""",Yes,,,,,,,,,,
James Fisher,james,fisher,"""Child Care and Maternal Labor Supply: A Field Experiment""",No,,,,x,,,FALSE,,TRUE,
James H. Murphy,james,murphy,Why does dictator game sharing vary? Measuring social norms in the laboratory,Yes,,,,,,,,,,
James J. Murphy,james,murphy,Explaining Sunk Cost Fallacy through Evidence from Auction Experiments,Yes,,,,,,,,,,
James Murphy,james,murphy,,Yes,,,,,,,,,,
James Parco,james,parco,Decision Biases in Revenue Management,Yes,,,,,,,,,,
James Wolf,james,wolf,The ethical preferences of investors in laboratory,No,,,,x,,,FALSE,,TRUE,
Jan Frederik Graff,jan,graff,Can a simple SMS increase firms' tax compliance? A natural field experiment in China,No,,,,,,,FALSE,,FALSE,
Jan Hausfeld,jan,hausfeld,"""Non-numerical and social anchoring in a ratings""",No,,,,,,,FALSE,,FALSE,
Jan Jozwik,jan,jozwik,Collective Self-Deception and Markets,No,,,,,,,FALSE,,FALSE,
Jan Mueller-Dethard,jan,mueller-dethard,"""Take me with you! Economic Incentives, Nudging Interventions, and Reusable Shopping Bags: Evidence from a Randomized Controlled Trial""",No,,,,,,,FALSE,,FALSE,
Jan Potters,jan,potters,"""Do women shy away from risky skill games?""",No,,,,,,,FALSE,,FALSE,
Jan Rene Judek,jan,judek,"""Discrimination and Investment Decisions""",No,,,,,,,FALSE,,FALSE,
Jan S. Krause,jan,krause,"""On the Persistence of Dishonesty""",No,,,,,,,FALSE,,FALSE,
Jan Schmitz,jan,schmitz,"""Is religious faith associated with willingness to take the Covid-19 vaccine? Evidence from Israel and Japan""",Yes,,,,,,,,,,
Jana Cahlikova,jana,cahlikova,"“Criminal‐related Exposure to Violence and Social Preferences: Experimental Evidence,”",No,,,,,,,FALSE,,FALSE,
Jana Freundt,jana,freundt,"""Selfish now, altruistic (for) tomorrow? Inter vs. Intra-Generational Strategies for the preservation of a common resource""",No,,,,,,,FALSE,,FALSE,
Jana Friedrichsen,jana,friedrichsen,Snipings in Soft-close Online Auctions,No,,,,,,,FALSE,,FALSE,
Jana Gallus,jana,gallus,"""Symbolic incentives in high-stakes public goods contexts: A field experiment on motivating convalescent plasma donations during the COVID-19 pandemic""",Yes,,,,,,,,,,
Jana Hamdan,jana,hamdan,Wage bargaining in a matching market: experimental evidence,No,,,,,,,FALSE,,FALSE,
Jana Peliova,jana,peliova,"""Investigating incorrect beliefs: A field experiment studying beliefs about gender difference in skill""",No,,,,,,,FALSE,,FALSE,
Jana Rollmann,jana,rollmann,Announcing a nudge,No,,,,,,,FALSE,,FALSE,
Jana Vyrastekova,jana,vyrastekova,Effect of Tobin Tax in an Experimental Financial Market,No,,,,,,,FALSE,,FALSE,
Janet Jiang,janet,jiang,"I win it's fair, you win it's not. Selective heeding to merit in dictator games",No,,,,,,,FALSE,,FALSE,
Janina Hofmann,janina,hofmann,Voluntary contributions to an alternating-offer bargaining: Hold-up problem in the lab,No,,,,,,,FALSE,,FALSE,
Janina Kleinknecht,janina,kleinknecht,Bargaining Power with Endogenous Surplus,No,,,,,,,FALSE,,FALSE,
Janina Kraus,janina,kraus,"""Attribution of Responsibility in Sequential Decision Making""",No,,,,,,,FALSE,,FALSE,
Janis Cloos,janis,cloos,Experiments Flavored by Evolution,No,,,,,,,FALSE,,FALSE,
Janna Ter Meer,janna,meer,"Not Convicting the Innocent: Unanimity Rule, Abstention and Quorum",No,,,,,,,FALSE,,FALSE,
Jantsje Mol,jantsje,mol,"""Peer Effects of Ability and Misbehaviors in Classroom- Evidence from a Seat Randomization Experiment""",No,,,,,,,FALSE,,FALSE,
Jared Barton,jared,barton,Crowding-out the in-group bias: a possible paradox of populist policies?,No,,,,,,,FALSE,,FALSE,
Jarid Zimmermann,jarid,zimmermann,The Welfare Implications of Social Interactions,No,,,,x,,,FALSE,,TRUE,no exp
Jaron Cordero,jaron,cordero,“Team Production in Endogenous Networks”,No,,,,x,,,FALSE,,TRUE,
Jaron Paulo Tayawa,jaron,tayawa,“Social Norms and Social Capital in Canada: A Count Data Regression Analysis Approach”,No,,,,x,,,FALSE,,TRUE,no exp
Jason Aimone,jason,aimone,"""Environmental valuation using bargaining games""",Yes,,,,,,,,,,
Jason Somerville,jason,somerville,,No,,,,,,,FALSE,,FALSE,
Jason Sussman,jason,sussman,Effects of Trade Liberalization on Non-farm Household Enterprises in Vietnam,No,,,,,,,FALSE,,FALSE,
Jaume Garcia-Segarra,jaume,garcia-segarra,"“Behavioral Spillover in the Field: A Natural Experiment from China's Coal‐to‐Gas Policy,” Tracy",No,,,,,,,FALSE,,FALSE,
Javier Gardeazabal,javier,gardeazabal,"""Ethnic heterogeneity, kin altruism, and corruption in Canada and Iran""",No,,,,,,,FALSE,,FALSE,
Javier Portillo,javier,portillo,,No,,,,,,,FALSE,,FALSE,
Javier Rodero,javier,rodero,"""Betrayal, Risk, and Externalities: An Experimental Study on Fairness Ideals""",No,,,,,,,FALSE,,FALSE,
Javier RODERO COSANO,javier,cosano,“Committing to Promises by Guilt: A Generalized Approach to Trust by Communication”,No,,,,,,,FALSE,,FALSE,
Jawwad Noor,jawwad,noor,Rebels without a Clue? - Experimental Evidence on Endogenous Cartels and Fringe Firms,No,,,,,,,FALSE,,FALSE,
Jayanth Narayanan,jayanth,narayanan,On the behavioral effects of work incentives: Evidence from a lab and a natural field experiment,No,,,,,,,FALSE,,FALSE,
Jean Christian Tisserand,jean,tisserand,"Fairness preferences, tenure of contracts and discrimination",Yes,,,,,,,,,,
Jean Paul Petraud,jean,petraud,The Materazzi Effect: On the Strategic Use of Anger,No,,,,,,,FALSE,,FALSE,
Jean Paul Rabanal,jean,rabanal,"""On the empirical relevance of correlated equilibrium""",No,,,,,,,FALSE,,FALSE,
Jean-François Gajewski,jean-françois,gajewski,Experimental route choice scenario with Nagel Schreckenberg Algorithm,No,,,,,,,FALSE,,FALSE,
Jean-Lois Rulliere,jean-lois,rulliere,Pay Comparisons and Effort Transparency,No,,,,,,,FALSE,,FALSE,
Jean-Louis Rulliere,jean-louis,rulliere,Are wives more cooperative than husbands? Experimental evidence from Ethiopia,No,,,,,,,FALSE,,FALSE,
Jean-Louis RULLIERE,jean-louis,rulliere,Distributing two prizes in an all-pay auction,No,,,,,,,FALSE,,FALSE,
Jean-Robert Tyran,jean-robert,tyran,“Don’t Tell Anyone I Lost to a Girl! Gender Stereotypes and Hiding Low Performance”,No,,,,,,,FALSE,,FALSE,
Jean-Robert TYRAN,jean-robert,tyran,Crowding Out in Blood Donation: Was Titmuss Right?,No,,,,,,,FALSE,,FALSE,
Jeanette Brosig,jeanette,brosig,(Un)learning myopia: An experimental study of learning under minimal information,No,,,,,,,FALSE,,FALSE,
Jeanna Kenney,jeanna,kenney,,No,,,,,,,FALSE,,FALSE,
Jeannette Brosig-Koch,jeannette,brosig-koch,Tailored Feedback and Worker Green Behavior: Field Evidence from Bus Drivers,No,,,,,,,FALSE,,FALSE,
Jeevant Rampal,jeevant,rampal,"""A Natural Experiment on the Value of Strategic Unpredictability: Sign Stealing in Baseball""",Yes,,,,,,,,,,
Jeff Birchby,jeff,birchby,Does Good Advice Come Cheap? On the Assessment of Risk Preferences of Others,No,,,,,,,FALSE,,FALSE,
Jeffrey Butler,jeffrey,butler,"""Risk Aversion: Attention, Arousal and Incentive Effects""",No,,,,,,,FALSE,,FALSE,
Jeffrey Carpenter,jeffrey,carpenter,"""Teams, Time Pressure, and Coordination""",Yes,,,,,,,,,,
Jeffrey Guo,jeffrey,guo,,Yes,,,,,,,,,,
Jeffrey Hales,jeffrey,hales,New Hope for the Voluntary Contributions Mechanism: Experimental Tests of a Model of Social Norms Context and Reciprocity,No,,,,,,,FALSE,,FALSE,
Jeffrey Livingston,jeffrey,livingston,"""Can Agents Add and Subtract When Forming Beliefs? Evidence from the Lab and Field""",No,,,,,,,FALSE,,FALSE,
Jeffrey Naecker,jeffrey,naecker,Identity and Impact in Public Goods Contributions: A field experiment on Wikipedia,No,,,,,,,FALSE,,FALSE,
Jeffrey Romine,jeffrey,romine,,No,,,,,,,FALSE,,FALSE,
Jeffrey Zeidel,jeffrey,zeidel,,No,,,,,,,FALSE,,FALSE,
Jennifer Coats,jennifer,coats,"""An Offer You Can't Refuse? How Incentives Change How We Think About Things""",No,,,,,,,FALSE,,FALSE,
Jennifer Pate,jennifer,pate,"""Nudging or Nagging? Behavioral Approaches to Increasing Parent Reading and Child Literacy Skills""",No,,,,,,,FALSE,,FALSE,
Jens Grosser,jens,grosser,Compromise and Coordination: An Experimental Study,No,,,,,,,FALSE,,FALSE,
Jens Schubert,jens,schubert,"""Interval Effect On Time Preference Elicited By The Convex Time Budget Method""",No,,,,,,,FALSE,,FALSE,
Jeong Yeol Kim,jeong,kim,,No,,,,,,,FALSE,,FALSE,
Jeongbin Kim,jeongbin,kim,"“Learning to Believe: Experimental Evidence on the Emergence of Sunspot Equilibria,” ",No,,,,,,,FALSE,,FALSE,
Jeremy Clark,jeremy,clark,“A Theory of Experiments: Invariance of Equilibrium to the strategy method and implications for Social Preferences”,No,,,,,,,FALSE,,FALSE,
Jeremy Larner,jeremy,larner,The effect of feedback on performance of charity auctions.,No,,,,,,,FALSE,,FALSE,
Jeroen Nieboer,jeroen,nieboer,"""Shareholder Protection and Dividend Policy: An Experimental Analysis of Agency Costs""",No,,,,,,,FALSE,,FALSE,
Jeroen van de Ven,jeroen,ven,"""The heritability of trust and trustworthiness depends on the measure of trust""",No,,,,,,,FALSE,,FALSE,
Jerome Hergueux,jerome,hergueux,Evolutionary Rotation in Switching Incentive Zero-Sum Games,No,,,,,,,FALSE,,FALSE,
Jesal Dilip Sheth,jesal,sheth,Which Sanctions and Moral Costs Can Prevent the Formation of Cartels?,No,,,,,,,FALSE,,FALSE,
Jesse Backstrom,jesse,backstrom,"""Tackling Sexual Harassment: Experimental Evidence from India""",No,,,,,,,FALSE,,FALSE,
Jesse Bockstedt,jesse,bockstedt,Transmission of Information in Social Networks: an Artefactual Field Experiment With Current and Potential Immigrants,No,,,,,,,FALSE,,FALSE,
Jessen Hobson,jessen,hobson,Credible Assignments and Incentives in the Minimum Effort Coordination Game,No,,,,,,,FALSE,,FALSE,
Jessica Hoel,jessica,hoel,“Overcoming Peer Pressure to Drink”,No,,,,,,,FALSE,,FALSE,
Jesus Gastañaduy,jesus,gastañaduy,"""A Tale of Two Goods: The Role of Environmentally Friendly Products in Consumer Choice and Public Policy""",No,,,,,,,FALSE,,FALSE,
Jetske BOUMA,jetske,bouma,“Search and Satisficing”,No,,,,,,,FALSE,,FALSE,
Jia Liu,jia,liu,The effect of time cost on search behavior,No,,,,x,,,FALSE,,TRUE,
Jian LI,jian,li,Measuring Identity,No,,,,x,,,FALSE,,TRUE,
Jianan Yang,jianan,yang,"""Overcoming Peer Pressure to Drink""",No,,,,x,,,FALSE,,TRUE,
Jiang Jiang,jiang,jiang,“Redistribution and Pre-distribution: An Experimental Study on the Timing of Profit-Sharing Negotiations and Production”,No,,,,x,,,FALSE,,TRUE,
Jianlin Zhang,jianlin,zhang,R&D Cooperation and Investment an Experimental Analysis,Yes,,,,,,,,,,
Jianxin Wang,jianxin,wang,"""Collaborative Dishonesty: A Meta-Study""",Yes,,,,,,,,,,
Jiawen Li,jiawen,li,Informational Asymmetries in Laboratory Asset Markets with State Dependent Fundamentals,No,,,,x,,,FALSE,,TRUE,
Jiayi Bao,jiayi,bao,"""A Laboratory Investigation of Price Dispersion and Cycles""",No,,,,x,,,FALSE,,TRUE,has a good paper to cite under review https://jiayibao.github.io/personal-site/research
Jie Liang,jie,liang,How Does Transparency Affect Emergent Equilibria in Large Online Macroeconomic Environments?,No,,,,,,,FALSE,,FALSE,
Jie Zheng,jie,zheng,Bayesian Inference for Response Equilibrium in Normal-Form Games,No,,,,,,,FALSE,,FALSE,
Jieqiong Jin,jieqiong,jin,"""Skipping your workout, again? Measuring and understanding time inconsistency in physical activity""",No,,,,,,,FALSE,,FALSE,
