,Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
362,Ellen Green,ellen,green,"""Motivated Risk Assessments""",Yes,,,,,,,,,,
363,Emma Li,emma,li,“Anchor or Asset? The Role of Outside Obligations in Negotiations”,No,,,,x,,,False,,True,
364,Enhua Hu,enhua,hu,,No,,,,x,,,False,,True,
365,Enrica Carbone,enrica,carbone,Heterogeneous Agents in Threshold Public Goods Experiments: How Donors Focus on the Recipients Favored by the Wealthy,Yes,,,,,,,,,,
366,Enrico Mattia Salonia,enrico,salonia,"""Market entry, rent seeking and forward induction. An experiment""",No,,,,x,,,False,,True,
367,Erdem Yenerdag,erdem,yenerdag,“A Theoretical and Experimental Investigation into the Horizontal Effects of Late Payments”,No,,,,x,,,False,,True,
368,Eric Cardella,eric,cardella,"""Reducing the disposition effect with robo-advisers: A stock trading lab-in-the-field experiment""",Yes,,,,,,,,,,
369,Eric Set,eric,set,“With a Little Help from Your Friends: A Field Experiment on Spillover Effects of Making Study Plans on Student Learning”,No,,,,x,,,False,,True,
370,Eric Spurlino,eric,spurlino,Failure of Unravelling Theory? A Natural Field Experiment on Voluntary Quality Disclosure,No,,,,,8,,True,,True,
371,Erica Ordali,erica,ordali,Orienta|ME: Measuring the effects of a peer-to-peer mentoring program on university choices and performance,No,,,,x,,,False,,True,
372,Ericka Scherenberg Farret,ericka,farret,Heterogeneity in Experienced-Weighted Attraction Learning and Its Relation to Cognitive Ability,No,,,,x,,,False,,True,
373,Erik Eyster,erik,eyster,,Yes,,,,,,,,,,
374,Erik Mallory,erik,mallory,,No,,,,x,,,False,,True,
375,Erika Domotor,erika,domotor,“A Test of Isomorphic Mechanisms for Rationing”,No,,,,x,,,False,,True,
376,Erika Gross,erika,gross,The cost of being behavioral in risky choice experiments,No,,,,x,,,False,,True,
377,Erin Fairweather,erin,fairweather,Countering Manipulation in Prediction Markets? The Role of Incentives,No,,,,x,,,False,,True,
378,Ernan Haruvy,ernan,haruvy,"""Anomalous Time Preferences? The Role of Subjective Time Perception""",Yes,,,,,,,,,,
379,Ernan HARUVY,ernan,haruvy,“Punishment and Cooperation in Stochastic Social Dilemmas”,Yes,,,,,,,,,,
380,Ernesto Maria Gavassa Perez,ernesto,perez,"""Monetary incentives and fact-checking techniques to spot disinformation""",No,,,,x,,,False,,True,
381,Ernesto Reuben,ernesto,reuben,"""Teaching To Be Selfish: Classroom Experiments on Prisoners Dilemma""",Yes,,,,,,,,,,
382,Ernesto REUBEN,ernesto,reuben,Wealthy people do better? Time preference heterogeneity and the effect of wealth in renewable commonpool resource exploitation,Yes,,,,,,,,,,
383,Erte Xiao,erte,xiao,Prosocial Ignorance,Yes,,,,,,,,,,
384,Esteban Muñoz Sobrado,esteban,sobrado,"""Generalized Comparative Statics for Quantal Response Equilibrium: An Application to Social Dilemma Games""",No,,,,x,,,False,,True,
385,Eszter Czibor,eszter,czibor,Experiences from past attempts at building sharing sites: ExLab,Yes,,,,,,,,,,
386,Ethan Holdahl,ethan,holdahl,,No,,,,x,,,False,,True,no exp
387,Eugen Dimant,eugen,dimant,,Yes,,,,,,,,,,
388,Eugenio Levi,eugenio,levi,“Altruistic Lies”,No,,,,x,,,False,,True,
389,Euncheol Shin,euncheol,shin,"""Social Ties affect Preferences for Competition""",Yes,,,,,,,,,,
390,Eva Weingartner,eva,weingartner,,No,,,,x,,,False,,True,
391,Evgeniya Chabanova,evgeniya,chabanova,The roots of cooperation,No,,,,x,,,False,,True,
392,Fabian Braun,fabian,braun,Intertemporal Coordination in Volunteer Markets,No,,,,x,,,False,,True,
393,Fabian Hoffmann,fabian,hoffmann,"""Individualism, Collectivism, and Strategy Choice/Cooperation in Indefinitely Repeated Prisoner's Deilemmas""",No,,,,x,,,False,,True,
394,Fabio Tufano,fabio,tufano,,Yes,,,,,,,,,,
395,Fan Rao,fan,rao,"""The Shadow of the Future versus Strategic Risk: Nature of Coordination in Indefinitely Repeated Coordination Games""",No,,,,x,,,False,,True,
396,Fang Liu,fang,liu,,No,,,,x,,,False,,True,
397,Fanny Brun,fanny,brun,A Tale of Two Tales: The Impact of Interactions of Risk and Time on the Valuation of Tail Events,No,,,,x,,,False,,True,
398,Fatameh Momeni,fatameh,momeni,A two-roles bribery experiment with unstructured bargaining,Yes,,,,,,,,,,
399,Fatemeh Momeni,fatemeh,momeni,Search in Charitable Giving,Yes,,,,,,,,,,
400,Federica Alberti,federica,alberti,Does online backlash stifle free speech?,No,,,,x,,,False,,True,
401,Federica D'Isanto,federica,d'isanto,Statistical Discrimination and Affirmative Action in the Lab,No,,,,x,,,False,,True,
402,Fedor Golubev,fedor,golubev,“Inequality and the Allocation of Collective Goods”,No,,,,x,,,False,,True,
403,Felipe Augusto de Araujo,felipe,araujo,"""The Value of Signals""",Yes,,,,,,,,,,
404,Felix Holzmeister,felix,holzmeister,"""The impact of communication on cooperation under private monitoring: An experiment""",Yes,,,,,,,,,,
405,Fenqi Guo,fenqi,guo,Representation in Public Good Provision: An experimental investigation,No,,,,x,,,False,,True,
406,Florian Schneider,florian,schneider,"""To Join or not to Join: Coalition Formation in Public Good Games""",Yes,,,,,,,,,,
407,Florian Zimmermann,florian,zimmermann,Leverage and Asset Prices: An Experiment,Yes,,,,,,,,,,
408,Francesca De Petrillo,francesca,petrillo,Learning under Ambiguity when Information Acquisition is Costly: an Experiment,No,,,,x,,,False,,True,
409,Francesca Federico,francesca,federico,"""Alternative Carbon Emissions Permits Market Designs: A Lab-in-Field Experiment in China""",No,,,,x,,,False,,True,
410,Francesco Fallucchi,francesco,fallucchi,Experimental evidence of the bandwagon effect on voting,No,,,,,,,False,,True,cited already above 
411,Franziska Then,franziska,then,Endogenous Market Formation and Monetary Trade: an Experiment,No,,,,,,,True,,True,cited aboce
412,Frederic Schneider,frederic,schneider,Do Non-strategic Considerations in Games Matter for Behavior? Experimental Study Informed by Direct-sum Decompositions of Games,Yes,,,,,,,,,,
413,Frederik ØVLISEN,frederik,øvlisen,Exploring the effects of real effort in weak-link lab experiments,No,,,,x,,,False,,True,
414,Friederike Reichel,friederike,reichel,"""An Approach to Testing Reference Points”",No,,,,x,,,False,,True,
415,Fu-Hsuan Tsai,fu-hsuan,tsai,"""A theory of the origin of social norms""",No,,,,x,,,False,,True,
416,Fuhai Hong,fuhai,hong,"""Emotions, rule-following, and bargaining norms""",Yes,,,,,,,,,,
417,Gabriel Vollert,gabriel,vollert,Wisdom of crowds under social influence: A comparison of voting rules,No,,,,x,,,False,,True,
418,Gahye  Jeon,gahye,jeon,"""Is women's competitiveness expressed through their husband's income?""",No,,,,x,,,False,,True,
419,Gary Charness,gary,charness,Panel,Yes,,,,,,,,,,
420,Gary CHARNESS,gary,charness,“Do Roses Speak Louder than Words? Signaling in Internet Dating Markets”,Yes,,,,,,,,,,
421,Geir Asheim,geir,asheim,Congestion and Minority Games,No,,,,x,,,False,,True,no exp
422,Geo Li,geo,li,Married by the Rev. Bayes? An experiment on communication within married couples.,No,,,,x,,,False,,True,no exp
423,Geoff Clarke,geoff,clarke,When Is Inequality Fair?,No,,,,x,,,False,,True,no exp
424,Geoffrey Fisher,geoffrey,fisher,Communication in Legislative Bargaining,Yes,,,,,,,,,,
425,Georg Primes,georg,primes,"""Reflexive Agents And Institutional Change: An Experimental Case Of Inequality And (Democratic) Decision Making""",No,,,,x,,,False,,True,
426,Georg Sator,georg,sator,,No,,,,x,,,False,,True,
427,George Agyeah,george,agyeah,Estimating Preferences for Competition from Convex Budget Sets,No,,,,x,,,False,,True,
428,George Loewenstein,george,loewenstein,“Women Dislike Competing Against Men”,Yes,,,,,,,,,,
429,George Ng,george,ng,“Best of Three Contests: Experimental Evidence”,No,,,,x,,,False,,True,
430,Gerhard Riener,gerhard,riener,Panel,Yes,,,,,,,,,,
431,Ghida Karbala,ghida,karbala,Peer Effects and Social Closeness,No,,,,x,,,False,,True,
432,Giacomo Lanzani,giacomo,lanzani,"""In Search of Mixed Risk Attitudes""",No,,,,x,,,False,,True,
433,Gideon Nave,gideon,nave,Affirmative Action in School Choice Problem: An Experiment,Yes,,,,,,,,,,
434,Giorgia Romagnoli,giorgia,romagnoli,"""Anti-migration sentiments and fairness perceptions""",Yes,,,,,,,,,,
435,Gizem Turna Cebeci,gizem,cebeci,Fund manager performance incentives and asset bubbles?An experimental study,No,,,,x,,,False,,True,
436,Graham LOOMES,graham,loomes,“On the Coefficient of Variation as a Criterion for Decision under Risk”,Yes,,,,,,,,,,
437,Gregory Howard,gregory,howard,Hierarchy Reversal Aversion: Evidence from Developmental and Cross-Cultural Research,No,,,,x,,,False,,True,
438,Guidon Fenig,guidon,fenig,"""Quantal Response Equilibrium with Symmetry: Representation and Applications""",No,,,,,,,False,,False,
439,Guillaume Beaurain,guillaume,beaurain,"""Friend or Foe: Social Distance in Bribery""",No,,,,,,,False,,False,
440,Guillaume Frechette,guillaume,frechette,"""Are pro-environment behaviors substitutes or complements? Evidence from the field""",No,,,,,,,False,,False,
441,Guillaume Hollard,guillaume,hollard,Minimum Wages and Fairness Perceptions: Evidence from Field and the Lab,No,,,,,,,False,,False,
442,Guillermo Mateu,guillermo,mateu,"""Simple Voting""",No,,,,,,,False,,False,
443,Gunduz Caginalp,gunduz,caginalp,Compliance by believing: An experimental exploration on social norms and impartial agreements,No,,,,,,,False,,False,
444,Guohong Wang,guohong,wang,"Context, common knowledge and gender differences in trust and reciprocity",No,,,,,,,False,,False,
445,Gustavo Caballero,gustavo,caballero,“Goal Setting In Tournament With Sabotage: Theory and Experimental Evidence”,No,,,,,,,False,,False,
446,Guy Barokas,guy,barokas,Inequality Externality Beliefs and Redistributive Preferences,No,,,,,,,False,,False,
447,Guy Mayraz,guy,mayraz,"""Mirror Mirror on the Network: Peer selection and endogenous preferences""",No,,,,,,,False,,False,
448,Gwen-Jiro Clochard,gwen-jiro,clochard,,No,,,,,,,False,,False,
449,Hadar Weisman Simhony,hadar,simhony,"The Effect of Cognitive Ability on Cooperation, Forgiveness, and Leniency in Infinitely Repeated Public Goods Game Experiments",No,,,,,,,False,,False,
450,Haimanti Bhattacharya,haimanti,bhattacharya,Strategies in the Multi-armed Bandit,No,,,,,,,False,,False,
451,Hajime Kobayashi,hajime,kobayashi,The Impact of Economics on Moral Decision-Making and Legal Thought,No,,,,,,,False,,False,
452,Håkan Holm,håkan,holm,"Incentives, Test Scores, and Economic Success",No,,,,,,,False,,False,
453,Håkan J. HOLM,håkan,holm,Procrastination: Welfare effects of partial naïveté,No,,,,,,,False,,False,
454,Hakan Ozyilmaz,hakan,ozyilmaz,,No,,,,,,,False,,False,
455,Haley Harwell,haley,harwell,"""Determinants of Discrimination in Strategic Settings""",No,,,,,,,False,,False,
456,Hamideh Mohtashami Borzadaran,hamideh,borzadaran,"""Delaying and Motivating Decisions in the (Bully) Dictator Game""",No,,,,,,,False,,False,
457,Hammad Siddiqi,hammad,siddiqi,Shocks and Relationships,No,,,,,,,False,,False,
458,Hande Erkut,hande,erkut,“Facing the Grim Truth: Repeated Prisoner’s Dilemma Against Robot Opponents”,No,,,,,,,False,,False,
459,Hankyoung Sung,hankyoung,sung,A Large Scale Experimental Study of School Choice Mechanisms,No,,,,,,,False,,False,
460,Hanlin Lou,hanlin,lou,"""Insider trading legislation and trader migration""",No,,,,,,,False,,False,
461,Hannes Rau,hannes,rau,Mindful parenting and children’s socio-emotional skills and preferences,Yes,,,,,,,,,,
462,Hannes Titeca,hannes,titeca,Trust of Tax Authorities in Taxpayers: An Experimental Investigation of its Effects on Auditing and Tax Compliance,No,,,,x,,,False,,True,
463,Hedda Nielsen,hedda,nielsen,Moral Wiggle Room and Identity-based Discrimination,No,,,,x,,,False,,True,
464,Heloise Clolery,heloise,clolery,"""Reciprocity in multi player interactions - Evidence from the lab and the field""",No,,,,x,,,False,,True,
465,Hirofumi Kirokawa,hirofumi,kirokawa,The Endogenous Formation of Institutions in Public Goods Provision,No,,,,x,,,False,,True,
466,Hiroshi KURATA,hiroshi,kurata,A Comparison of Generalized Plurality and Cumulative Voting,No,,,,x,,,False,,True,
467,Holger A. Rau,holger,rau,"""Inherited Inequality and the Dilemma of Meritocracy""",Yes,,,,,,,,,,
468,Hong GENG,hong,geng,Second Price Candle Auctions,No,,,,x,,,False,,True,
469,Hong Wu,hong,wu,Accounting Uniformity and Higher-Order Beliefs,Yes,,,,,,,,,,
470,Hongkai Zhang,hongkai,zhang,Observability and Lying,No,,,,x,,,False,,True,
471,Howard Margolis,howard,margolis,Self-delusion: A Neuroeconomic Model and fMRI Evidence,No,,,,x,,,False,,True,no exp
472,Hsu Lin,hsu,lin,,No,,,,x,,,False,,True,
473,Huaiping Yuan,huaiping,yuan,“Behavioral Influences on Investment and Production in Asset Markets: An Experimental Study”,No,,,,,,,False,,False,
474,Huan Xie,huan,xie,"""Deceptive Communication""",Yes,,,,,,,,,,
475,Huanren Zhang,huanren,zhang,"""The Gender Difference in Mixed Strategy Nash Equilibrium Play""",No,,,,,,,False,,False,
476,Hugh Sibly,hugh,sibly,Giving to one or giving to many? How the number of recipients affects willingness to donate,No,,,,,,,False,,False,
477,Hung-Ni Chen,hung-ni,chen,Is the attraction effect fast or slow? A choice process experiment,No,,,,,,,False,,False,
478,Huseyn Ismayilov,huseyn,ismayilov,"""Framing effect and children's conditional cooperation under the inequality of endowment""",No,,,,,,,False,,False,
479,Hyeonggyun Ko,hyeonggyun,ko,The Cooperative Consequences of Contests,No,,,,,,,False,,False,
480,Hyoeun Park,hyoeun,park,"""Why do People Demand Rent Control?""",No,,,,,,,False,,False,
481,Hyundam Je,hyundam,je,"""The Role of Memory in Belief Formation""",No,,,,,,,False,,False,
482,Hyunkyong Lee,hyunkyong,lee,"Discounting, Dynamic Consistency, and Cooperation in an Infinitely Repeated Game Experiment",No,,,,,,,False,,False,
483,Ian Chadd,ian,chadd,"""Gender Biases in Performance Evaluation: The Role of Beliefs versus Outcomes""",No,,,,,,,False,,False,
484,Ian Krajbich,ian,krajbich,,No,,,,,,,False,,False,
485,Ian Levely,ian,levely,Cheating for Charity: When Misreporting the Value of Labor Benefits a Just Cause,No,,,,,,,False,,False,
486,Ian Muir,ian,muir,"""Price Signaling and Bargain Hunting in Markets with Partially Informed Populations""",Yes,,,,,,,,,,
487,Ichola Soulé,ichola,soulé,“Virtualizing the Lab with oTree and Kubernetes”,No,,,,,,,False,,False,
488,Ido Erev,ido,erev,On common evaluation standards and the acceptance of wage differences,Yes,,,,,,,,,,
489,Iftikhar Lodhi,iftikhar,lodhi,"""Inequality, Life Expectancy, and the Intragenerational Redistribution Puzzle. Some Experimental Evidence""",No,,,,,,,False,,False,
490,iga Velkavrh,iga,velkavrh,Cooperation and the Signaling Value of Incentives: An Experiment in a Company,No,,,,,,,False,,False,
491,Igor Asanov,igor,asanov,"Economic Insecurity, Racial Bias and Trust",No,,,,,,,False,,False,
492,Ihsan Alp,ihsan,alp,"""Competition and Complementarities between Platforms: Evidence from the Vacation Rental Markets""",No,,,,,,,False,,False,
493,Ilona Reindl,ilona,reindl,"""An Experimental Investigation of Warm Glow and Hidden Income""",No,,,,,,,False,,False,
494,Imen Bouhlel,imen,bouhlel,The forward premium in electricity markets: an experimental study,No,,,,,,,False,,False,
495,Inbal Dekel,inbal,dekel,"""Bargaining Outcomes and Rents under Differing Institutional Arrangements: Evidence from a Natural Experiment""",No,,,,,,,False,,False,
496,Indira Puri,indira,puri,Pyramid schemes,No,,,,,,,False,,False,
497,Ingar Haaland,ingar,haaland,A Laboratory Experiment on Tax Competition,No,,,,,,,False,,False,
498,Irenaeus Wolff,irenaeus,wolff,Is Compensation Fine? Sanction Regimes and their Effects on Deterrence and Trust,No,,,,,,,False,,False,
499,Irene Mussio,irene,mussio,Statistical Role Models in Stereotyped Contexts: Experimental Evidence,No,,,,,,,False,,False,
500,Irina Kirysheva,irina,kirysheva,“Negative Externalities and Reflecting on What is Socially Right: An Experiment with a UK Population Representative Sample”,No,,,,,,,False,,False,
501,Isa Hafalir,isa,hafalir,The Effects of Tax Salience and Tax Experience on Individual Work Efforts in a Real Effort Experiment,No,,,,,,,False,,False,
502,Isabel Busom,isabel,busom,Crime and (Optimal) Punishment: An Experimental Study,No,,,,,,,False,,False,
503,Isabel Marcin,isabel,marcin,"""A tale of two utilities""",No,,,,,,,False,,False,
504,Isabel Trevino,isabel,trevino,,No,,,,,,,False,,False,
505,Isabelle Brocas,isabelle,brocas,"Productivity beliefs, competition entry, and gender quotas",No,,,,,,,False,,False,
506,Isabelle Salle,isabelle,salle,“Motives to Share: Evidence from a Risk Sharing Experiment in Kenya”,No,,,,,,,False,,False,
507,Ismael Rodriguez-Lara,ismael,rodriguez-lara,"""On the relative deservingness of capital and labor""",No,,,,,,,False,,False,
508,Israel WAICHMAN,israel,waichman,“Jump Bidding in English Auctions: an Experimental Study”,No,,,,,,,False,,False,
509,Ivan Ajdukovic,ivan,ajdukovic,"""Does Financing of Public Goods by Lotteries Crowd Out Pro-Social Incentives?""",No,,,,,,,False,,False,
510,Ivan Barreda-Tarrazona,ivan,barreda-tarrazona,"""Ethics and Economic Choice: An Exploration of Endogenous and Constructive Preferences""",No,,,,,,,False,,False,
511,Iván Barreda-Tarrazona,iván,barreda-tarrazona,Mobility evaluation: Theorerical definitions and people’s perceptions.,No,,,,,,,False,,False,
512,Ivan Soraperra,ivan,soraperra,"""Behavioral Market Design""",Yes,,,,,,,,,,
513,Ivcan Soraperra,ivcan,soraperra,Post-Promotion Effort and Group Identity,Yes,,,,,,,,,,
514,J Jobu Babin,j,babin,What Money Can Buy: How Markets Promote and Transmit Values,No,,,,,,,False,,False,
515,J Michelle Brock,j,brock,Electoral competition and political rents in the lab,No,,,,,,,False,,False,
516,J. A. Lacomba,j.,lacomba,The Hayek Hypothesis and Long Run Competitive Market Equilibrium,No,,,,,,,False,,False,
517,J. Cristobal Ruiz-Tagle,j.,ruiz-tagle,An Experimental Analysis of Bubble: Private Information and Trading Behavior,No,,,,,,,False,,False,
518,J. Forrest Williams,j.,williams,Willful Ignorance and Moral Behavior: Evidence from the Lab and the Field,Yes,,,,,,,,,,
519,J. Frederik Graff,j.,graff,Helping Behavior and Group Size,No,,,,,,,False,,False,
520,J. Jobu Babin,j.,babin,The Impact of a Merit-Based Incentive Payment System on Quality of Healthcare: A Framed Field Experiment,No,,,,,,,False,,False,
521,J. Michelle Brock,j.,brock,The Endowment Effect of the Personal Account Amount of Public Maintenance Funds--Evidence from a field experimentation,No,,,,,,,False,,False,
522,J. Neil Bearden,j.,bearden,The Effects of Total Sleep Deprivation on Bayesian Update,No,,,,,,,False,,False,
523,J. Philipp Reiss,j.,reiss,"""Does an Individual Have Diverse Beliefs? An Experimental Investigation""",No,,,,,,,False,,False,
524,J. Philipp REISS,j.,reiss,Pricing lotteries with real outcomes: An experimental study,No,,,,,,,False,,False,
525,J. Todd SWARTHOUT,j.,swarthout,“The Attack and Defense of Weakest-Link Networks”,No,,,,,,,False,,False,
526,Jack Rogers,jack,rogers,Eliciting Private Information with Noise: The Case of Randomized Response,No,,,,,,,False,,False,
527,Jack Stecher,jack,stecher,Neurobiological Foundations of Perception and Decisions under Uncertainty,No,,,,,,,False,,False,
528,Jaclyn Yap,jaclyn,yap,"""Lack of Control: An experiment""",No,,,,,,,False,,False,
529,Jacob Fooks,jacob,fooks,“Inconsistency Pays.”,No,,,,,,,False,,False,
530,Jacob Williams,jacob,williams,,Yes,,,,,,,,,,
531,Jakob Möller,jakob,möller,"Why people oppose trade institutions – On morality, fairness and risky actions",No,,,,x,,,False,,True,
532,James Andreoni,james,andreoni,"""Information Disclosure In Common Value Repeated Auctions""",Yes,,,,,,,,,,
533,James Banovetz,james,banovetz,"""Gender Differences in Self-Promotion: Understanding the Female Modesty Constraint""",No,,,,x,,,False,,True,
534,James C Cox,james,cox,,Yes,,,,,,,,,,
535,James C. Cox,james,cox,"""Expectation Formation Under Uninformative Signals""",Yes,,,,,,,,,,
536,James Cox,james,cox,"""Institutions And The Causal Effect Of Trust""",Yes,,,,,,,,,,
537,James Fisher,james,fisher,"""Child Care and Maternal Labor Supply: A Field Experiment""",No,,,,x,,,False,,True,
538,James H. Murphy,james,murphy,Why does dictator game sharing vary? Measuring social norms in the laboratory,Yes,,,,,,,,,,
539,James J. Murphy,james,murphy,Explaining Sunk Cost Fallacy through Evidence from Auction Experiments,Yes,,,,,,,,,,
540,James Murphy,james,murphy,,Yes,,,,,,,,,,
541,James Parco,james,parco,Decision Biases in Revenue Management,Yes,,,,,,,,,,
542,James Wolf,james,wolf,The ethical preferences of investors in laboratory,No,,,,x,,,False,,True,
543,Jan Frederik Graff,jan,graff,Can a simple SMS increase firms' tax compliance? A natural field experiment in China,No,,,,,,,False,,False,
544,Jan Hausfeld,jan,hausfeld,"""Non-numerical and social anchoring in a ratings""",No,,,,,,,False,,False,
545,Jan Jozwik,jan,jozwik,Collective Self-Deception and Markets,No,,,,,,,False,,False,
546,Jan Mueller-Dethard,jan,mueller-dethard,"""Take me with you! Economic Incentives, Nudging Interventions, and Reusable Shopping Bags: Evidence from a Randomized Controlled Trial""",No,,,,,,,False,,False,
547,Jan Potters,jan,potters,"""Do women shy away from risky skill games?""",No,,,,,,,False,,False,
548,Jan Rene Judek,jan,judek,"""Discrimination and Investment Decisions""",No,,,,,,,False,,False,
549,Jan S. Krause,jan,krause,"""On the Persistence of Dishonesty""",No,,,,,,,False,,False,
550,Jan Schmitz,jan,schmitz,"""Is religious faith associated with willingness to take the Covid-19 vaccine? Evidence from Israel and Japan""",Yes,,,,,,,,,,
551,Jana Cahlikova,jana,cahlikova,"“Criminal‐related Exposure to Violence and Social Preferences: Experimental Evidence,”",No,,,,,,,False,,False,
552,Jana Freundt,jana,freundt,"""Selfish now, altruistic (for) tomorrow? Inter vs. Intra-Generational Strategies for the preservation of a common resource""",No,,,,,,,False,,False,
553,Jana Friedrichsen,jana,friedrichsen,Snipings in Soft-close Online Auctions,No,,,,,,,False,,False,
554,Jana Gallus,jana,gallus,"""Symbolic incentives in high-stakes public goods contexts: A field experiment on motivating convalescent plasma donations during the COVID-19 pandemic""",Yes,,,,,,,,,,
555,Jana Hamdan,jana,hamdan,Wage bargaining in a matching market: experimental evidence,No,,,,,,,False,,False,
556,Jana Peliova,jana,peliova,"""Investigating incorrect beliefs: A field experiment studying beliefs about gender difference in skill""",No,,,,,,,False,,False,
557,Jana Rollmann,jana,rollmann,Announcing a nudge,No,,,,,,,False,,False,
558,Jana Vyrastekova,jana,vyrastekova,Effect of Tobin Tax in an Experimental Financial Market,No,,,,,,,False,,False,
559,Janet Jiang,janet,jiang,"I win it's fair, you win it's not. Selective heeding to merit in dictator games",No,,,,,,,False,,False,
560,Janina Hofmann,janina,hofmann,Voluntary contributions to an alternating-offer bargaining: Hold-up problem in the lab,No,,,,,,,False,,False,
561,Janina Kleinknecht,janina,kleinknecht,Bargaining Power with Endogenous Surplus,No,,,,,,,False,,False,
562,Janina Kraus,janina,kraus,"""Attribution of Responsibility in Sequential Decision Making""",No,,,,,,,False,,False,
563,Janis Cloos,janis,cloos,Experiments Flavored by Evolution,No,,,,,,,False,,False,
564,Janna Ter Meer,janna,meer,"Not Convicting the Innocent: Unanimity Rule, Abstention and Quorum",No,,,,,,,False,,False,
565,Jantsje Mol,jantsje,mol,"""Peer Effects of Ability and Misbehaviors in Classroom- Evidence from a Seat Randomization Experiment""",No,,,,,,,False,,False,
566,Jared Barton,jared,barton,Crowding-out the in-group bias: a possible paradox of populist policies?,No,,,,,,,False,,False,
567,Jarid Zimmermann,jarid,zimmermann,The Welfare Implications of Social Interactions,No,,,,x,,,False,,True,no exp
568,Jaron Cordero,jaron,cordero,“Team Production in Endogenous Networks”,No,,,,x,,,False,,True,
569,Jaron Paulo Tayawa,jaron,tayawa,“Social Norms and Social Capital in Canada: A Count Data Regression Analysis Approach”,No,,,,x,,,False,,True,no exp
570,Jason Aimone,jason,aimone,"""Environmental valuation using bargaining games""",Yes,,,,,,,,,,
571,Jason Somerville,jason,somerville,,No,,,,,,,False,,False,
572,Jason Sussman,jason,sussman,Effects of Trade Liberalization on Non-farm Household Enterprises in Vietnam,No,,,,,,,False,,False,
573,Jaume Garcia-Segarra,jaume,garcia-segarra,"“Behavioral Spillover in the Field: A Natural Experiment from China's Coal‐to‐Gas Policy,” Tracy",No,,,,,,,False,,False,
574,Javier Gardeazabal,javier,gardeazabal,"""Ethnic heterogeneity, kin altruism, and corruption in Canada and Iran""",No,,,,,,,False,,False,
575,Javier Portillo,javier,portillo,,No,,,,,,,False,,False,
576,Javier Rodero,javier,rodero,"""Betrayal, Risk, and Externalities: An Experimental Study on Fairness Ideals""",No,,,,,,,False,,False,
577,Javier RODERO COSANO,javier,cosano,“Committing to Promises by Guilt: A Generalized Approach to Trust by Communication”,No,,,,,,,False,,False,
578,Jawwad Noor,jawwad,noor,Rebels without a Clue? - Experimental Evidence on Endogenous Cartels and Fringe Firms,No,,,,,,,False,,False,
579,Jayanth Narayanan,jayanth,narayanan,On the behavioral effects of work incentives: Evidence from a lab and a natural field experiment,No,,,,,,,False,,False,
580,Jean Christian Tisserand,jean,tisserand,"Fairness preferences, tenure of contracts and discrimination",Yes,,,,,,,,,,
581,Jean Paul Petraud,jean,petraud,The Materazzi Effect: On the Strategic Use of Anger,No,,,,,,,False,,False,
582,Jean Paul Rabanal,jean,rabanal,"""On the empirical relevance of correlated equilibrium""",No,,,,,,,False,,False,
583,Jean-François Gajewski,jean-françois,gajewski,Experimental route choice scenario with Nagel Schreckenberg Algorithm,No,,,,,,,False,,False,
584,Jean-Lois Rulliere,jean-lois,rulliere,Pay Comparisons and Effort Transparency,No,,,,,,,False,,False,
585,Jean-Louis Rulliere,jean-louis,rulliere,Are wives more cooperative than husbands? Experimental evidence from Ethiopia,No,,,,,,,False,,False,
586,Jean-Louis RULLIERE,jean-louis,rulliere,Distributing two prizes in an all-pay auction,No,,,,,,,False,,False,
587,Jean-Robert Tyran,jean-robert,tyran,“Don’t Tell Anyone I Lost to a Girl! Gender Stereotypes and Hiding Low Performance”,No,,,,,,,False,,False,
588,Jean-Robert TYRAN,jean-robert,tyran,Crowding Out in Blood Donation: Was Titmuss Right?,No,,,,,,,False,,False,
589,Jeanette Brosig,jeanette,brosig,(Un)learning myopia: An experimental study of learning under minimal information,No,,,,,,,False,,False,
590,Jeanna Kenney,jeanna,kenney,,No,,,,,,,False,,False,
591,Jeannette Brosig-Koch,jeannette,brosig-koch,Tailored Feedback and Worker Green Behavior: Field Evidence from Bus Drivers,No,,,,,,,False,,False,
592,Jeevant Rampal,jeevant,rampal,"""A Natural Experiment on the Value of Strategic Unpredictability: Sign Stealing in Baseball""",Yes,,,,,,,,,,
593,Jeff Birchby,jeff,birchby,Does Good Advice Come Cheap? On the Assessment of Risk Preferences of Others,No,,,,,,,False,,False,
594,Jeffrey Butler,jeffrey,butler,"""Risk Aversion: Attention, Arousal and Incentive Effects""",No,,,,,,,False,,False,
595,Jeffrey Carpenter,jeffrey,carpenter,"""Teams, Time Pressure, and Coordination""",Yes,,,,,,,,,,
596,Jeffrey Guo,jeffrey,guo,,Yes,,,,,,,,,,
597,Jeffrey Hales,jeffrey,hales,New Hope for the Voluntary Contributions Mechanism: Experimental Tests of a Model of Social Norms Context and Reciprocity,No,,,,,,,False,,False,
598,Jeffrey Livingston,jeffrey,livingston,"""Can Agents Add and Subtract When Forming Beliefs? Evidence from the Lab and Field""",No,,,,,,,False,,False,
599,Jeffrey Naecker,jeffrey,naecker,Identity and Impact in Public Goods Contributions: A field experiment on Wikipedia,No,,,,,,,False,,False,
